,price,name,ext_color,int_color,drivetrain,mpg,fuel,transmission,engine,mileage,accidents,1owner,personal_use,review_comfort,review_design,review_performance,review_value,review_styling,review_reliability,sellers-notes
0,"$33,991",2022 Subaru Ascent Premium 8-Passenger,Crystal Black Silica,Ivory,All-wheel Drive,21–27,Gasoline,Automatic CVT,2.4L H4 16V GDI DOHC Turbo,"13,955 mi.",None reported,Yes,Yes,4.5,4.4,3.8,3.9,4.0,4.2,"Clean CARFAX. CARFAX One-Owner. Backup Camera, Bluetooth, Keyless Entry, 4-Wheel Disc Brakes, 6 Speakers, ABS brakes, Air Conditioning, All-Weather Floor Liners, AM/FM radio: SiriusXM, Auto-Dimming Rear View Compass Mirror w/HomeLink, Automatic temperature control, CD player, Convenience Package, Du …"
1,"$25,400",2020 Toyota Camry Hybrid XLE,Blue,Black,Front-wheel Drive,44–47,Hybrid,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid,"93,794 mi.",None reported,Yes,No,4.9,4.8,4.4,4.4,4.9,4.6,"Come see us in beautiful Ardmore, OK USA! Take exit 32 on I-35. This Camry Hybrid is equipped with the following options: 2.5L I4 DOHC 16V, 4-Wheel Disc Brakes, 6 Speakers, ABS brakes, Air Conditioning, Alloy wheels, AM/FM radio: SiriusXM, Apple CarPlay/Android Auto, Auto High-beam Headlights, Auto- …"
2,"$58,604",2022 Ford Bronco Outer Banks,Shadow Black,Roast,Four-wheel Drive,20–21,Gasoline,10-Speed Automatic,2.7L V6 24V GDI DOHC Turbo,"6,440 mi.",None reported,Yes,Yes,4.6,4.7,4.8,4.2,4.9,4.3,"New Price! CARFAX One-Owner. Bronco BALANCE OF FACTORY WARRANTY, REAR BACKUP CAMERA, PREMIUM WHEELS, TRAILER HITCH, CRUISE CONTROL, AWD/4WD, REMOTE KEYLESS ENTRY, BLUETOOTH, TIRE PRESSURE MONITOR, LOW MILES, MANAGER SPECIAL, PREMIUM SOUND, SURROUND VIEW CAMERA, Bronco Outer Banks Advanced, 4D Spor …"
3,"$27,777",2021 Chevrolet Blazer 2LT,Silver Ice Metallic,Jet Black,All-wheel Drive,22–27,Gasoline,9-Speed Automatic,3.6L V6 24V GDI DOHC,"60,710 mi.",None reported,Yes,No,4.7,4.8,4.6,4.4,4.9,4.5,"Wifi Hotspot, AWD, Apple CarPlay/Android Auto, Automatic temperature control, Front dual zone A/C, Heavy-Duty Cooling System, Hitch Guidance, Preferred Equipment Group 2LT, Premium Cloth Seat Trim, Trailering Equipment, Wheels: 18 Bright Silver Aluminum. Clean CARFAX. Priced below KBB Fair Purchase …"
4,"$54,894",2023 Acura MDX A-Spec,Fathom Blue Pearl,Ebony,All-wheel Drive,19–25,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,"2,256 mi.",At least 1 accident or damage reported,Yes,Yes,,,,,,,"2023 Acura MDX A-Spec SH-AWD Certified. NAVIGATION/NAVI/GPS, SUNROOF/MOONROOF, Leather seats, Alloy Wheels, Heated Seats, ONE OWNER , CLEAN CAR FAX , BACK UP CAMERA , TECHNOLOGY PKG , NEW TIRES , BLUETOOTH, CERTIFIED PRE OWNED CPO, CPO, MDX A-Spec SH-AWD, 4D Sport Utility, 3 …"
5,"$22,998",2015 Ford Mustang V6,Red,Black,Rear-wheel Drive,17–28,Gasoline,6-Speed Automatic,3.7L V6 24V MPFI DOHC,"41,327 mi.",None reported,Yes,No,4.6,4.7,4.8,4.7,4.9,4.7,"Introducing the Love Your Car Guarantee from CarMax! Now you can take your time with a 24-hour test drive and a 30-day/1500-mile money back guarantee to be sure it's the right car for you. See carmax.com for details. At CarMax, finding the right car is easy. You can shop online, get pre-approved for …"
6,"$13,995",2015 Nissan Juke NISMO RS,Super Black,–,Front-wheel Drive,25–31,Gasoline,6-Speed Manual,1.6L I4 16V GDI DOHC Turbo,"86,598 mi.",None reported,Yes,No,4.6,4.7,4.8,4.6,4.9,4.8,Schedule Virtual Appointment & Home Delivery Available ELIGIBLE FOR 90 DAYS NO PAYMENT! CLEAN AUTOCHECK Manual Transmission Navigation NissanConnect 5 Touchscreen Display Sirius XM Satellite Radio Bluetooth Rockford Fostgate Premium Sound Back Up Camera Recaro Lea …
7,"$26,095",2022 Chevrolet Trailblazer LT,Summit White,Jet Black,Front-wheel Drive,29–31,Gasoline,Automatic CVT,1.3L I3 12V GDI DOHC Turbo,"14,293 mi.",None reported,Yes,Yes,4.0,5.0,5.0,3.7,4.7,4.7,"Priced below KBB Fair Purchase Price! Recent Arrival! This 2022 Chevrolet TrailBlazer LT in Summit White features: 1.3L Ecotec Turbo DOHC SIDI w/VVT CVT FWD 1 Type-A & 1 Type-C USB Charging-Only Ports, 120-Volt Power Outlet, 8 Diagonal Color Touchscreen Display, Confidence II Package, Convenience Pa …"
8,"$7,585",2005 Chevrolet Silverado 1500 W/T,Summit White,Tan,Rear-wheel Drive,,Gasoline,5-Speed Manual,4.3L V6 12V MPFI OHV,"176,000 mi.",None reported,Yes,No,4.5,4.1,4.3,4.3,4.2,4.3,Gowdy Autoplex is proud to present you with another True Market Priced Pre-Owned Vehicle. This 2005 Chevrolet Silverado 1500 Work Truck. Clean CARFAX. Summit White RWD 5-Speed Manual with Overdrive Vortec 4.3L V6 MPI
9,"$29,977",2000 Pontiac Firebird Trans Am,White,Black,Rear-wheel Drive,,Gasoline,4-Speed Automatic,5.7L V8 16V MPFI OHV,"31,173 mi.",None reported,Yes,No,4.2,4.1,4.8,4.8,5.0,4.5,"WS6 RAM AIR PERFORMANCE PKG! 31k ACTUAL MILES! ALL STOCK! RUST FREE NORTH CAROLINA CAR! JUST 1,013 WS6 CONVERTIBLES PRODUCED FOR THE 2000 MODEL YEAR WITH ONLY 107 DRESSED IN ARCTIC WHITE! MONSOON PREMIUM AUDIO, LEATHER INTERIOR, POWER CONVERTIBLE TOP! RAM AIR FED LS1 V8! $36,670 MSRP NEW! WS6 RAM PK …"
